dataset,type,split,train_size,test_size,trial_seed,classifier,train_accuracy,val_accuracy,test_accuracy,best_params
mushroom,categorical,50_50,0.5,0.5,2,svm_rbf,1.0,1.0,1.0,"{'clf__C': 1, 'clf__gamma': 0.1}"
mushroom,categorical,50_50,0.5,0.5,2,random_forest,1.0,1.0,1.0,"{'clf__max_depth': None, 'clf__n_estimators': 100}"
mushroom,categorical,80_20,0.8,0.2,0,log_reg,1.0,1.0,1.0,{'clf__C': 10}
mushroom,categorical,80_20,0.8,0.2,0,svm_rbf,1.0,1.0,1.0,"{'clf__C': 1, 'clf__gamma': 0.1}"
mushroom,categorical,80_20,0.8,0.2,0,random_forest,1.0,1.0,1.0,"{'clf__max_depth': None, 'clf__n_estimators': 100}"
mushroom,categorical,80_20,0.8,0.2,1,log_reg,1.0,1.0,1.0,{'clf__C': 10}
mushroom,categorical,80_20,0.8,0.2,1,svm_rbf,1.0,1.0,1.0,"{'clf__C': 1, 'clf__gamma': 0.1}"
mushroom,categorical,80_20,0.8,0.2,1,random_forest,1.0,1.0,1.0,"{'clf__max_depth': None, 'clf__n_estimators': 100}"
mushroom,categorical,80_20,0.8,0.2,2,log_reg,1.0,1.0,1.0,{'clf__C': 10}
mushroom,categorical,80_20,0.8,0.2,2,svm_rbf,1.0,1.0,1.0,"{'clf__C': 1, 'clf__gamma': 0.1}"
mushroom,categorical,80_20,0.8,0.2,2,random_forest,1.0,1.0,1.0,"{'clf__max_depth': None, 'clf__n_estimators': 100}"
